Czas	Masa[g]
2026-01-13 09:40:01.603535	0.050
2026-01-13 09:40:01.710951	0.050
2026-01-13 09:40:01.770824	0.050
2026-01-13 09:40:01.838474	0.050
2026-01-13 09:40:01.960511	0.050
2026-01-13 09:40:02.020877	0.050
2026-01-13 09:40:02.145329	0.050
2026-01-13 09:40:02.212389	0.050
2026-01-13 09:40:02.331011	0.050
2026-01-13 09:40:02.394053	0.050
2026-01-13 09:40:02.523251	0.050
2026-01-13 09:40:02.584743	0.050
2026-01-13 09:40:02.646518	0.050
2026-01-13 09:40:02.769480	0.050
2026-01-13 09:40:02.831633	0.050
2026-01-13 09:40:02.964899	0.050
2026-01-13 09:40:03.026273	0.050
2026-01-13 09:40:03.149810	0.050
2026-01-13 09:40:03.210981	0.050
2026-01-13 09:40:03.334592	0.050
2026-01-13 09:40:03.396299	0.050
2026-01-13 09:40:03.460294	0.050
2026-01-13 09:40:03.590254	0.050
2026-01-13 09:40:03.654867	0.050
2026-01-13 09:40:03.768814	0.050
2026-01-13 09:40:03.839764	0.050
2026-01-13 09:40:03.964747	0.050
2026-01-13 09:40:04.026831	0.050
2026-01-13 09:40:04.089408	0.050
2026-01-13 09:40:04.213585	0.050
2026-01-13 09:40:04.275778	0.050
2026-01-13 09:40:04.399949	0.050
2026-01-13 09:40:04.461718	0.050
2026-01-13 09:40:04.543314	0.050
2026-01-13 09:40:04.646239	0.050
2026-01-13 09:40:04.769546	0.050
2026-01-13 09:40:04.831183	0.050
2026-01-13 09:40:04.955291	0.050
2026-01-13 09:40:05.019675	0.050
2026-01-13 09:40:05.089375	0.050
2026-01-13 09:40:05.213111	0.050
2026-01-13 09:40:05.274567	0.050
2026-01-13 09:40:05.398448	0.050
2026-01-13 09:40:05.460182	0.050
2026-01-13 09:40:05.584382	0.050
2026-01-13 09:40:05.645810	0.050
2026-01-13 09:40:05.707482	0.050
2026-01-13 09:40:05.831180	0.050
2026-01-13 09:40:05.893439	0.050
2026-01-13 09:40:06.027335	0.050
2026-01-13 09:40:06.088944	0.050
2026-01-13 09:40:06.213152	0.050
2026-01-13 09:40:06.274867	0.050
2026-01-13 09:40:06.337333	0.050
2026-01-13 09:40:06.461679	0.050
2026-01-13 09:40:06.522898	0.050
2026-01-13 09:40:06.646783	0.050
2026-01-13 09:40:06.708668	0.050
2026-01-13 09:40:06.832645	0.050
2026-01-13 09:40:06.894439	0.050
2026-01-13 09:40:07.018744	0.050
2026-01-13 09:40:07.081176	0.050
2026-01-13 09:40:07.215037	0.050
2026-01-13 09:40:07.276737	0.050
2026-01-13 09:40:07.338611	0.050
2026-01-13 09:40:07.462183	0.050
2026-01-13 09:40:07.546268	0.050
2026-01-13 09:40:07.646842	0.050
2026-01-13 09:40:07.708327	0.050
2026-01-13 09:40:07.774607	0.050
2026-01-13 09:40:07.893749	0.050
2026-01-13 09:40:08.017828	0.050
2026-01-13 09:40:08.089353	0.050
