Czas	Masa[g]
2026-01-13 13:33:34.770036	29.000
2026-01-13 13:33:34.856442	58.000
2026-01-13 13:33:34.916674	87.000
2026-01-13 13:33:34.975520	32.000
2026-01-13 13:33:35.042726	6.000
2026-01-13 13:33:35.101217	47.000
2026-01-13 13:33:35.163530	2.000
2026-01-13 13:33:35.231934	93.000
2026-01-13 13:33:35.291943	44.000
2026-01-13 13:33:35.353522	13.000
2026-01-13 13:33:35.417753	55.000
2026-01-13 13:33:35.477430	19.000
2026-01-13 13:33:35.538016	93.000
2026-01-13 13:33:35.601541	89.000
2026-01-13 13:33:35.661880	71.000
2026-01-13 13:33:35.733077	84.000
2026-01-13 13:33:35.795631	32.000
2026-01-13 13:33:35.857199	7.000
2026-01-13 13:33:35.918836	47.000
2026-01-13 13:33:35.979680	17.000
2026-01-13 13:33:36.041406	15.000
2026-01-13 13:33:36.103114	15.000
2026-01-13 13:33:36.164404	61.000
2026-01-13 13:33:36.226199	81.000
2026-01-13 13:33:36.288685	38.000
2026-01-13 13:33:36.350287	94.000
2026-01-13 13:33:36.412678	85.000
2026-01-13 13:33:36.486821	60.000
2026-01-13 13:33:36.542960	36.000
2026-01-13 13:33:36.604232	25.000
2026-01-13 13:33:36.664502	77.000
2026-01-13 13:33:36.726821	59.000
2026-01-13 13:33:36.789503	34.000
2026-01-13 13:33:36.851966	30.000
2026-01-13 13:33:36.914212	55.000
2026-01-13 13:33:36.976297	11.000
2026-01-13 13:33:37.038551	19.000
2026-01-13 13:33:37.100573	13.000
2026-01-13 13:33:37.162565	11.000
2026-01-13 13:33:37.224419	43.000
2026-01-13 13:33:37.286721	63.000
2026-01-13 13:33:37.348588	55.000
2026-01-13 13:33:37.483761	37.000
2026-01-13 13:33:37.544003	66.000
2026-01-13 13:33:37.605442	64.000
2026-01-13 13:33:37.662867	74.000
2026-01-13 13:33:37.729192	77.000
2026-01-13 13:33:37.791627	64.000
2026-01-13 13:33:37.853495	56.000
2026-01-13 13:33:37.915863	15.000
2026-01-13 13:33:37.978232	6.000
2026-01-13 13:33:38.039203	82.000
2026-01-13 13:33:38.101994	24.000
2026-01-13 13:33:38.164546	41.000
2026-01-13 13:33:38.226052	41.000
2026-01-13 13:33:38.288668	50.000
2026-01-13 13:33:38.350191	26.000
2026-01-13 13:33:38.421902	2.000
2026-01-13 13:33:38.489092	39.000
2026-01-13 13:33:38.541854	71.000
2026-01-13 13:33:38.603816	75.000
2026-01-13 13:33:38.664751	35.000
2026-01-13 13:33:38.726369	93.000
2026-01-13 13:33:38.788119	63.000
2026-01-13 13:33:38.850155	91.000
2026-01-13 13:33:38.912215	98.000
2026-01-13 13:33:38.974477	94.000
2026-01-13 13:33:39.037066	15.000
2026-01-13 13:33:39.099227	28.000
2026-01-13 13:33:39.161894	27.000
2026-01-13 13:33:39.224417	43.000
2026-01-13 13:33:39.296393	7.000
2026-01-13 13:33:39.358787	62.000
2026-01-13 13:33:39.421381	53.000
2026-01-13 13:33:39.491135	10.000
2026-01-13 13:33:39.559363	41.000
2026-01-13 13:33:39.614879	5.000
2026-01-13 13:33:39.677725	66.000
2026-01-13 13:33:39.740660	10.000
2026-01-13 13:33:39.805779	1.000
2026-01-13 13:33:39.868527	25.000
2026-01-13 13:33:39.931285	83.000
2026-01-13 13:33:39.994407	89.000
2026-01-13 13:33:40.057092	30.000
2026-01-13 13:33:40.119053	62.000
2026-01-13 13:33:40.180621	97.000
2026-01-13 13:33:40.243142	71.000
2026-01-13 13:33:40.304790	50.000
2026-01-13 13:33:40.365412	62.000
2026-01-13 13:33:40.492774	46.000
2026-01-13 13:33:40.496943	64.000
2026-01-13 13:33:40.558527	20.000
2026-01-13 13:33:40.618645	72.000
2026-01-13 13:33:40.681446	43.000
2026-01-13 13:33:40.753823	7.000
2026-01-13 13:33:40.805548	39.000
2026-01-13 13:33:40.869841	37.000
2026-01-13 13:33:40.928712	61.000
2026-01-13 13:33:40.990572	39.000
2026-01-13 13:33:41.062848	54.000
2026-01-13 13:33:41.115409	22.000
2026-01-13 13:33:41.177298	60.000
2026-01-13 13:33:41.249807	2.000
2026-01-13 13:33:41.312099	1.000
2026-01-13 13:33:41.374725	40.000
2026-01-13 13:33:41.437086	95.000
2026-01-13 13:33:41.496359	63.000
2026-01-13 13:33:41.556097	65.000
2026-01-13 13:33:41.621264	44.000
2026-01-13 13:33:41.677743	22.000
2026-01-13 13:33:41.743951	84.000
2026-01-13 13:33:41.805475	54.000
2026-01-13 13:33:41.867082	97.000
2026-01-13 13:33:41.928850	69.000
2026-01-13 13:33:41.991885	6.000
2026-01-13 13:33:42.053852	57.000
2026-01-13 13:33:42.116757	85.000
2026-01-13 13:33:42.178306	77.000
2026-01-13 13:33:42.240820	12.000
2026-01-13 13:33:42.302803	73.000
2026-01-13 13:33:42.365355	79.000
2026-01-13 13:33:42.427723	6.000
2026-01-13 13:33:42.497349	77.000
2026-01-13 13:33:42.559663	49.000
2026-01-13 13:33:42.615156	18.000
2026-01-13 13:33:42.677468	47.000
2026-01-13 13:33:42.743231	49.000
2026-01-13 13:33:42.805279	22.000
2026-01-13 13:33:42.867469	54.000
2026-01-13 13:33:42.928620	57.000
2026-01-13 13:33:42.991211	38.000
2026-01-13 13:33:43.052629	21.000
2026-01-13 13:33:43.124920	79.000
2026-01-13 13:33:43.186955	68.000
2026-01-13 13:33:43.248471	13.000
2026-01-13 13:33:43.310960	71.000
2026-01-13 13:33:43.369640	78.000
2026-01-13 13:33:43.498514	84.000
2026-01-13 13:33:43.558890	76.000
2026-01-13 13:33:43.617326	98.000
2026-01-13 13:33:43.679124	64.000
2026-01-13 13:33:43.746138	26.000
2026-01-13 13:33:43.805953	26.000
2026-01-13 13:33:43.867671	45.000
2026-01-13 13:33:43.928816	41.000
2026-01-13 13:33:44.001615	99.000
2026-01-13 13:33:44.059065	82.000
