Czas	Masa[g]
2026-01-13 13:04:35.462813	83.000
2026-01-13 13:04:35.514440	37.000
2026-01-13 13:04:35.568480	37.000
2026-01-13 13:04:35.638782	9.000
2026-01-13 13:04:35.694626	65.000
2026-01-13 13:04:35.760722	26.000
2026-01-13 13:04:35.828949	37.000
2026-01-13 13:04:35.880938	10.000
2026-01-13 13:04:35.954932	33.000
2026-01-13 13:04:36.005558	23.000
2026-01-13 13:04:36.074842	23.000
2026-01-13 13:04:36.135584	13.000
2026-01-13 13:04:36.197927	62.000
2026-01-13 13:04:36.259731	8.000
2026-01-13 13:04:36.321357	76.000
2026-01-13 13:04:36.382218	90.000
2026-01-13 13:04:36.445632	63.000
2026-01-13 13:04:36.504896	34.000
2026-01-13 13:04:36.570057	17.000
2026-01-13 13:04:36.636917	35.000
2026-01-13 13:04:36.705479	17.000
2026-01-13 13:04:36.759764	70.000
2026-01-13 13:04:36.821956	61.000
2026-01-13 13:04:36.884018	28.000
2026-01-13 13:04:36.945775	11.000
2026-01-13 13:04:37.009161	33.000
2026-01-13 13:04:37.069379	19.000
2026-01-13 13:04:37.131255	90.000
2026-01-13 13:04:37.193955	51.000
2026-01-13 13:04:37.255737	75.000
2026-01-13 13:04:37.317865	6.000
2026-01-13 13:04:37.388586	80.000
2026-01-13 13:04:37.450242	4.000
2026-01-13 13:04:37.505841	97.000
2026-01-13 13:04:37.574240	73.000
2026-01-13 13:04:37.636872	93.000
2026-01-13 13:04:37.699066	32.000
2026-01-13 13:04:37.761690	78.000
2026-01-13 13:04:37.823349	51.000
2026-01-13 13:04:37.885224	73.000
2026-01-13 13:04:37.946766	67.000
2026-01-13 13:04:38.008577	30.000
2026-01-13 13:04:38.069299	15.000
2026-01-13 13:04:38.138718	30.000
2026-01-13 13:04:38.240606	1.000
2026-01-13 13:04:38.259861	44.000
2026-01-13 13:04:38.320719	97.000
2026-01-13 13:04:38.382443	71.000
2026-01-13 13:04:38.444139	49.000
2026-01-13 13:04:38.509757	10.000
2026-01-13 13:04:38.575121	88.000
2026-01-13 13:04:38.637235	60.000
2026-01-13 13:04:38.697584	29.000
2026-01-13 13:04:38.759174	61.000
2026-01-13 13:04:38.821349	37.000
2026-01-13 13:04:38.884259	71.000
2026-01-13 13:04:38.946657	8.000
2026-01-13 13:04:39.008904	30.000
2026-01-13 13:04:39.069741	26.000
2026-01-13 13:04:39.131804	17.000
2026-01-13 13:04:39.196291	37.000
2026-01-13 13:04:39.257680	32.000
2026-01-13 13:04:39.320819	39.000
2026-01-13 13:04:39.380845	93.000
2026-01-13 13:04:39.451927	71.000
2026-01-13 13:04:39.508053	29.000
2026-01-13 13:04:39.574302	41.000
2026-01-13 13:04:39.636323	10.000
2026-01-13 13:04:39.697872	64.000
2026-01-13 13:04:39.759891	69.000
2026-01-13 13:04:39.823379	39.000
2026-01-13 13:04:39.884618	81.000
2026-01-13 13:04:39.946473	19.000
2026-01-13 13:04:40.008175	71.000
2026-01-13 13:04:40.069737	2.000
2026-01-13 13:04:40.132028	56.000
2026-01-13 13:04:40.204386	40.000
2026-01-13 13:04:40.255387	61.000
2026-01-13 13:04:40.317637	41.000
2026-01-13 13:04:40.390368	78.000
2026-01-13 13:04:40.452409	54.000
2026-01-13 13:04:40.514164	16.000
2026-01-13 13:04:40.575528	58.000
2026-01-13 13:04:40.638784	81.000
2026-01-13 13:04:40.700929	19.000
2026-01-13 13:04:40.762080	60.000
2026-01-13 13:04:40.824359	22.000
2026-01-13 13:04:40.885177	29.000
2026-01-13 13:04:40.947131	30.000
2026-01-13 13:04:41.008790	63.000
2026-01-13 13:04:41.071530	56.000
2026-01-13 13:04:41.138502	87.000
2026-01-13 13:04:41.266793	56.000
2026-01-13 13:04:41.323460	24.000
2026-01-13 13:04:41.384765	83.000
2026-01-13 13:04:41.446246	26.000
2026-01-13 13:04:41.507169	7.000
2026-01-13 13:04:41.568613	30.000
2026-01-13 13:04:41.639870	41.000
2026-01-13 13:04:41.701654	79.000
2026-01-13 13:04:41.763446	26.000
2026-01-13 13:04:41.825111	47.000
2026-01-13 13:04:41.886881	71.000
2026-01-13 13:04:41.950464	12.000
2026-01-13 13:04:42.012427	30.000
2026-01-13 13:04:42.073276	30.000
2026-01-13 13:04:42.144965	4.000
